sentence_id,filename,sentence
ee71e29300d6bf97715142b1ddfeb9a46f27cb0ff4f58075519f76bc6dd865a7,dia_generated_40865211.mp3,"With this transition to the big time, the band shortened their name to Stabilo. [S1] With this transition to the big time, the band shortened their name to Stabilo. [S2] Local brothels recruited extra staff to cope with the increase in business."
ee6a9d5da68a933995ee3fc7fe679e019df35295ce24a2500b6b2a6b758fba45,dia_generated_40865212.mp3,"Local brothels recruited extra staff to cope with the increase in business. [S1] With this transition to the big time, the band shortened their name to Stabilo. [S2] Local brothels recruited extra staff to cope with the increase in business."
ee79622517bc43e5958b41951c455320ae6588f51424481cc07590e73d3db7d6,dia_generated_40865213.mp3,"With Fox on lead vocals, the threesome did two short tours in Europe. [S1] With Fox on lead vocals, the threesome did two short tours in Europe. (sneezes) [S2] Miramax requested cuts be made and Christopher initially refused."
ee67248663e5c083e777259bc983427e3a36f168b1676814a4aa57b04e9afe1e,dia_generated_40865214.mp3,"Miramax requested cuts be made and Christopher initially refused. [S1] With Fox on lead vocals, the threesome did two short tours in Europe. (sneezes) [S2] Miramax requested cuts be made and Christopher initially refused."
ee7187768850017c14addbcb48664c31a2ee162f3a089f6b228aee42b5587b3a,dia_generated_40865215.mp3,"The Key allows customers to buy Plusbus for the Crawley and Brighton areas. [S1] The Key allows customers to buy Plusbus for the Crawley and Brighton areas. [S2] In this position he learnt mathematics, Greek, Italian, Spanish and several oriental languages."
ee7ac41e54f02151392a117606620f15ac8d1591f773725323a49d40a4341b7d,dia_generated_40865221.mp3,"In this position he learnt mathematics, Greek, Italian, Spanish and several oriental languages. [S1] The Key allows customers to buy Plusbus for the Crawley and Brighton areas. [S2] In this position he learnt mathematics, Greek, Italian, Spanish and several oriental languages."
ee7709edfb8fdd349f3c3cf36ed947e7f61b2409209b9e9dcc5d3a46169a6d64,dia_generated_40865222.mp3,My books and my stories. [S1] My books and my stories. [S2] (sings) They followed the streetcar lines to areas south of the Raccoon River. [S1] She herself defended her verse as holy erotica.
ee7b6d5b86e8dbb1dd54853187bfa2381acff2ea93a76f539b60a13b4afb9530,dia_generated_40865223.mp3,They followed the streetcar lines to areas south of the Raccoon River. [S1] My books and my stories. [S2] (sings) They followed the streetcar lines to areas south of the Raccoon River. [S1] She herself defended her verse as holy erotica.
ee631b0154030c56b8821f65c7fa6f4a964cef68370d509f0794a9d62ee6045a,dia_generated_40865224.mp3,She herself defended her verse as holy erotica. [S1] My books and my stories. [S2] (sings) They followed the streetcar lines to areas south of the Raccoon River. [S1] She herself defended her verse as holy erotica.
ee5db1cf4de4880e9a48e3caa94cf28e9b263dccd9b9bb7ee0d0f4fcdb5a7106,dia_generated_40865225.mp3,In the pamphlet What is to be Done? [S1] In the pamphlet What is to be Done? [S2] (whistles) It was just the kind of unexpected thing the Japanese would do.
ef68c7bc3ada64990f6bd43ceea1575138f7f39e2fc241ed042e7236c65f84c1,dia_generated_40953339.mp3,It was just the kind of unexpected thing the Japanese would do. [S1] In the pamphlet What is to be Done? [S2] (whistles) It was just the kind of unexpected thing the Japanese would do.
Total Audio Length(s),,108.7854875
